City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
89,Hobart,AU,58.86,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
90,Goderich,CA,41.32,clear sky,43.7501,-81.7165,Harmony Inn
91,Aspindza,GE,52.95,overcast clouds,41.5739,43.2483,Aspindza Mountains
95,Kruisfontein,ZA,57.88,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
98,North Bend,US,55.24,overcast clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
101,Carnarvon,AU,62.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
103,Vila Franca Do Campo,PT,65.19,moderate rain,37.7167,-25.4333,Pestana Bahia Praia
105,Hamilton,US,63.61,few clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
106,Castro,BR,69.91,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
107,Lima,PE,62.85,overcast clouds,-12.0432,-77.0282,Hotel Kamana
110,Lebu,CL,54.86,clear sky,-37.6167,-73.65,Hostal Las Lilas
113,Senanga,ZM,69.98,scattered clouds,-16.1167,23.2667,Zango lodge
114,Narsaq,GL,53.82,overcast clouds,60.9167,-46.05,Sleep In Narsaq
115,Ponta Do Sol,PT,66.7,broken clouds,32.6667,-17.1,Hotel do Campo
116,Markova,UA,44.85,overcast clouds,48.6758,24.4138,Vas.VOM
117,Laguna,US,65.14,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
118,Svetlyy,RU,44.65,few clouds,54.675,20.1347,"Gostinitsa-Kafe, Alena"
119,Uusikaupunki,FI,35.67,clear sky,60.8004,21.4084,Hotel Aquarius
120,Northam,GB,56.25,overcast clouds,51.0333,-4.2167,Durrant House Hotel
121,Puerto Montt,CL,50.83,broken clouds,-41.4698,-72.9447,Gran Hotel Vicente Costanera
128,Shahrud,IR,65.75,overcast clouds,36.4182,54.9763,Royal Hotel
132,Waipawa,NZ,49.57,overcast clouds,-41.4122,175.5153,Tora Coastal Walk
133,Mar Del Plata,AR,55.42,broken clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
134,Semey,KZ,57.25,clear sky,50.4111,80.2275,Grand Hotel Semey
136,Kodiak,US,42.31,light rain,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
139,Ordu,TR,39.7,broken clouds,40.9086,37.6845,Orencik Koyu Muhtarligi
140,East London,ZA,68.94,clear sky,-33.0153,27.9116,Tu Casa
142,Mountain Home,US,53.08,scattered clouds,43.133,-115.6912,Mountain Home Inn
147,New Norfolk,AU,58.5,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
150,Yellowknife,CA,37.92,broken clouds,62.456,-114.3525,The Explorer Hotel
151,Pacific Grove,US,62.02,scattered clouds,36.6177,-121.9166,Lovers Point Inn
152,Saldanha,ZA,57.25,clear sky,-33.0117,17.9442,Blue Bay Lodge
153,Hulan,CN,35.71,clear sky,45.9833,126.6,Mingda Hotel
154,Kaseda,JP,69.24,moderate rain,31.4167,130.3167,Sun Stay Kaseda
156,Erenhot,CN,46.67,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
157,Nikolskoye,RU,36.72,overcast clouds,59.7035,30.7861,Tourist House - Sablino
160,Olafsvik,IS,45.46,broken clouds,64.8945,-23.7142,Hotel Olafsvik
161,Kenai,US,49.03,clear sky,60.5544,-151.2583,Aspen Extended Stay Suites
163,Sault Sainte Marie,CA,48.49,clear sky,46.5168,-84.3333,Comfort Inn
165,Saint Anthony,US,50.22,overcast clouds,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
167,Nome,US,37.17,broken clouds,64.5011,-165.4064,Dredge 7 Inn
170,Camacha,PT,60.22,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
171,Brae,GB,46.02,overcast clouds,60.3964,-1.353,Busta House Hotel
172,Sisimiut,GL,25.25,overcast clouds,66.9395,-53.6735,Hotel Sisimiut
175,Constitucion,CL,59.43,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
177,Port Hardy,CA,44.78,scattered clouds,50.6996,-127.4199,Airport Inn-Port Hardy
180,Chapais,CA,35.38,clear sky,49.7834,-74.8492,Hôtel Opémiska
182,Ribeira Grande,PT,63.0,light rain,38.5167,-28.7,Quinta da Meia Eira
184,Port Alfred,ZA,66.11,clear sky,-33.5906,26.891,The Halyards Hotel
185,Chumikan,RU,26.2,overcast clouds,54.7183,135.315,Fortuna
188,Flinders,AU,63.68,clear sky,-34.5833,150.8552,Shellharbour Resort & Conference Centre
189,Suoyarvi,RU,28.85,overcast clouds,62.0833,32.35,Mini-Hotel Comfort
191,Seoul,KR,53.2,heavy intensity rain,37.5683,126.9778,롯데호텔 서울
193,Atasu,KZ,58.8,overcast clouds,48.6814,71.6433,Dostyk
198,Tocopilla,CL,68.56,overcast clouds,-22.092,-70.1979,Hotel Galvarino
200,Newport,GB,54.54,overcast clouds,51.5877,-2.9984,ibis budget Newport
201,Guerrero Negro,MX,66.18,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
