City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Lorengau,PG,-2.0226,147.2712,80.56,75,100,0.47,overcast clouds
174,Savannah Bight,HN,16.45,-85.85,80.37,76,44,12.73,scattered clouds
175,Constitucion,CL,-35.3333,-72.4167,59.43,53,0,15.41,clear sky
176,Hithadhoo,MV,-0.6,73.0833,85.19,69,100,6.78,overcast clouds
177,Port Hardy,CA,50.6996,-127.4199,44.78,81,40,4.61,scattered clouds
178,Kavaratti,IN,10.5669,72.642,84.92,75,100,4.61,overcast clouds
179,Leningradskiy,RU,69.3833,178.4167,15.55,94,100,4.18,overcast clouds
180,Chapais,CA,49.7834,-74.8492,35.38,52,6,12.93,clear sky
181,Hit,IQ,33.6416,42.8251,77.58,42,100,22.7,overcast clouds
182,Ribeira Grande,PT,38.5167,-28.7,63.0,94,75,16.11,light rain
183,Bandarban,BD,22.1965,92.2262,74.52,96,17,1.79,few clouds
184,Port Alfred,ZA,-33.5906,26.891,66.11,61,2,9.53,clear sky
185,Chumikan,RU,54.7183,135.315,26.2,73,98,9.31,overcast clouds
186,Clyde River,CA,70.4692,-68.5914,10.63,72,75,17.27,broken clouds
187,Noumea,NC,-22.2763,166.4572,75.99,99,100,11.45,overcast clouds
188,Flinders,AU,-34.5833,150.8552,63.68,92,1,5.99,clear sky
189,Suoyarvi,RU,62.0833,32.35,28.85,73,100,8.03,overcast clouds
190,San Andres,CO,12.5847,-81.7006,84.22,70,75,12.66,broken clouds
191,Seoul,KR,37.5683,126.9778,53.2,91,100,5.75,heavy intensity rain
192,Paita,PE,-5.0892,-81.1144,74.32,72,54,12.91,broken clouds
193,Atasu,KZ,48.6814,71.6433,58.8,38,100,7.96,overcast clouds
194,Faanui,PF,-16.4833,-151.75,81.72,70,3,23.91,clear sky
195,Ardmore,US,34.1743,-97.1436,78.31,66,100,18.41,overcast clouds
196,Itoman,JP,26.1247,127.6694,79.57,94,75,13.8,broken clouds
197,Namatanai,PG,-3.6667,152.4333,78.82,79,100,5.79,overcast clouds
198,Tocopilla,CL,-22.092,-70.1979,68.56,70,100,7.99,overcast clouds
199,Yumen,CN,40.2833,97.2,48.99,22,100,4.7,overcast clouds
200,Newport,GB,51.5877,-2.9984,54.54,66,100,9.35,overcast clouds
201,Guerrero Negro,MX,27.9769,-114.0611,66.18,57,1,18.32,clear sky
202,Buarcos,PT,40.166,-8.8768,64.74,80,55,15.68,broken clouds
203,Saint-Denis,FR,48.9167,2.3333,67.59,42,0,8.05,clear sky
204,Mapiripan,CO,2.8892,-72.1256,84.9,71,90,3.36,overcast clouds
205,Whitehorse,CA,60.7161,-135.0538,42.03,67,75,10.36,broken clouds
206,Sur,OM,22.5667,59.5289,87.91,54,82,3.91,broken clouds
207,Ayan,RU,56.45,138.1667,30.69,71,100,11.99,overcast clouds
208,Caravelas,BR,-17.7125,-39.2481,81.43,64,0,7.18,clear sky
209,Mascote,BR,-15.5631,-39.3025,83.71,61,14,6.29,few clouds
210,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,20,9.22,few clouds
211,Atar,MR,20.5169,-13.0499,89.38,8,0,10.04,clear sky
212,Shizunai,JP,42.3339,142.3669,41.11,51,83,3.44,broken clouds
213,Saint Paul,US,44.9444,-93.0933,50.85,59,100,12.66,overcast clouds
214,Mackay,AU,-21.15,149.2,73.69,94,40,9.22,scattered clouds
215,Lagoa,PT,39.05,-27.9833,60.24,96,100,19.66,heavy intensity rain
216,Ambovombe,MG,-25.1667,46.0833,67.57,73,67,14.63,broken clouds
217,Porto Santo,PT,33.072,-16.3415,62.98,72,20,12.66,few clouds
218,Ratnagiri,IN,16.9833,73.3,82.26,81,2,3.65,clear sky
219,Kasongo-Lunda,CD,-6.4667,16.8167,70.68,96,26,0.83,light rain
220,Roald,NO,62.5833,6.1333,43.32,70,75,4.61,broken clouds
221,Puerto Cabezas,NI,14.0351,-83.3888,85.96,74,40,11.5,scattered clouds
222,Tuatapere,NZ,-46.1333,167.6833,44.46,94,31,3.69,scattered clouds
223,Polovinnoye,RU,54.7914,65.9864,64.89,40,92,18.48,overcast clouds
224,Hokitika,NZ,-42.7167,170.9667,51.96,86,0,4.72,clear sky
225,Miri,MY,4.4148,114.0089,77.14,100,40,1.14,scattered clouds
226,Rozivka,UA,46.9385,35.7724,61.0,52,100,7.7,overcast clouds
227,Elizabeth City,US,36.2946,-76.2511,64.02,38,0,12.66,clear sky
228,Thompson,CA,55.7435,-97.8558,44.76,45,75,12.66,broken clouds
229,Lysva,RU,58.1086,57.8053,32.27,87,95,8.9,overcast clouds
230,Pecos,US,31.4229,-103.4932,91.49,7,0,9.22,clear sky
231,Aykino,RU,62.2248,49.9922,21.47,87,5,3.42,clear sky
232,Morehead,US,37.2711,-87.1764,75.85,31,0,6.91,clear sky
233,Katsuura,JP,35.1333,140.3,59.36,83,100,9.69,overcast clouds
234,Geraldton,AU,-28.7667,114.6,54.01,94,0,5.75,clear sky
235,San Carlos De Bariloche,AR,-41.1456,-71.3082,38.95,56,40,8.05,scattered clouds
236,Klaksvik,FO,62.2266,-6.589,45.52,78,13,5.23,few clouds
237,Shieli,KZ,44.1667,66.75,71.29,20,100,10.6,overcast clouds
238,Roma,US,43.2128,-75.4557,48.96,34,0,23.0,clear sky
239,Walvis Bay,NA,-22.9575,14.5053,85.15,23,0,13.8,clear sky
240,Resen,MK,41.0889,21.0122,55.04,90,43,9.08,light rain
241,Koutsouras,GR,35.0339,25.9469,65.32,64,0,9.46,clear sky
242,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,65,0,20.71,clear sky
